"","scen","trueHR"
"1",1,0.506214504501613
"2",2,0.360753878331067
"3",3,0.506889043852019
"4",4,0.4093912471465
"5",5,0.536363507669504
"6",6,0.505811714817389
"7",7,0.505335671636989
"8",8,0.50449570035009
"9",9,0.505526634736261
"10",10,0.50643128441435
"11",11,0.532327019656661
"12",12,0.507247114417192
"13",13,0.501462333697584
"14",14,0.501022062046857
"15",15,0.53590800143945
"16",16,0.498927171729647
"17",17,0.499585147680511
"18",18,0.532293121844381
"19",19,0.5015567991382
"20",20,0.502499071112469
"21",21,0.506297438936341
"22",22,0.503911172463515
"23",23,0.505252713070094
"24",24,0.507130483496203
"25",25,0.502117573642266
"26",26,0.50615280195787
"27",27,0.750652112373366
"28",28,0.579025816056171
"29",29,0.753935604854731
"30",30,0.621412473320118
"31",31,0.768717200278939
"32",32,0.746671217081193
"33",33,0.753503281729658
"34",34,0.75301153563325
"35",35,0.756922326330267
"36",36,0.754369599420887
"37",37,0.774750569947946
"38",38,0.745459354868821
"39",39,0.760061755841849
"40",40,0.755483818691297
"41",41,0.769576083390176
"42",42,0.748094589817509
"43",43,0.750192969273444
"44",44,0.775536280871089
"45",45,0.757485614083346
"46",46,0.752514231703082
"47",47,0.756412575403072
"48",48,0.752535255755955
"49",49,0.750048040786939
"50",50,0.755659518633659
"51",51,0.760747305270828
