"","scen","trueHR"
"1",1,0.504543078272847
"2",2,0.363483475514697
"3",3,0.510471099860657
"4",4,0.411263531346667
"5",5,0.537185197684202
"6",6,0.501127950249459
"7",7,0.505597895697049
"8",8,0.503596908830777
"9",9,0.503085471363898
"10",10,0.502135543320665
"11",11,0.535411547474725
"12",12,0.504716997116269
"13",13,0.50499217897333
"14",14,0.502611521207878
"15",15,0.534728233900216
"16",16,0.502066458329224
"17",17,0.498551311673762
"18",18,0.536750961666121
"19",19,0.506285272824297
"20",20,0.504452932863746
"21",21,0.50639041675001
"22",22,0.504798333935649
"23",23,0.503826841282223
"24",24,0.504432592801341
"25",25,0.505357751149788
"26",26,0.512742138646988
"27",27,0.751329092305975
"28",28,0.57388714578638
"29",29,0.758767169067636
"30",30,0.62391046369756
"31",31,0.77371221409452
"32",32,0.750040486420937
"33",33,0.755250999798869
"34",34,0.75389345519537
"35",35,0.750443533564618
"36",36,0.7473223967534
"37",37,0.768929268857485
"38",38,0.752770992995801
"39",39,0.749013766855695
"40",40,0.751839741859196
"41",41,0.764771787271816
"42",42,0.751837177774036
"43",43,0.750754341834392
"44",44,0.770504574595996
"45",45,0.753275374645138
"46",46,0.749598369294259
"47",47,0.75063705651885
"48",48,0.753478933070458
"49",49,0.752391522734877
"50",50,0.753787969055449
"51",51,0.757655761498254
