"","scen","trueHR"
"1",1,0.505491444178888
"2",2,0.366842545181592
"3",3,0.507490607729226
"4",4,0.41350535600019
"5",5,0.535901348932112
"6",6,0.502329442988321
"7",7,0.502473042555889
"8",8,0.503985066498777
"9",9,0.502820019503619
"10",10,0.506492782564024
"11",11,0.538663234462423
"12",12,0.507522828140409
"13",13,0.502447163371715
"14",14,0.504544319698666
"15",15,0.532439656331219
"16",16,0.501845259043712
"17",17,0.501584203392832
"18",18,0.534851226327599
"19",19,0.506753468776803
"20",20,0.504827029602185
"21",21,0.505346488142791
"22",22,0.504923542213862
"23",23,0.505238292690121
"24",24,0.504178335067976
"25",25,0.506072830130028
"26",26,0.502761560704962
"27",27,0.749866876297841
"28",28,0.579836057281238
"29",29,0.75628074018195
"30",30,0.62534755791298
"31",31,0.772134513812835
"32",32,0.74847098212762
"33",33,0.753804334166523
"34",34,0.749893398041422
"35",35,0.752536775729899
"36",36,0.755265315478926
"37",37,0.772579336780051
"38",38,0.753657911439666
"39",39,0.752423576270156
"40",40,0.750327655172974
"41",41,0.766999858353226
"42",42,0.748039055195239
"43",43,0.753206777417046
"44",44,0.767856593765514
"45",45,0.757852505250533
"46",46,0.754753448088273
"47",47,0.751441137894379
"48",48,0.751465371342035
"49",49,0.747746920711957
"50",50,0.750929369748647
"51",51,0.755560308884204
